,title,subtitle,link
0,Man Utd equal humiliating 132-YEAR record as horror relegation omen emerges,Jean-Philippe Mateta scored twice for the Eagles as they leapfrogged above the Red Devils into 12th in the table with their fourth win in six trips to Old Trafford. The result was the SEVENTH Premier League home defeat of the season already for United - from just 13 matches.,https://www.thesun.co.uk/sport/33158441/man-utd-humiliating-record-relegation-defeat-crystal-palace/
1,Spurs fans shocked after transfer move for England ace amid Disasi uncertainty,No subtitle found,https://www.thesun.co.uk/sport/33159614/tottenham-marc-guehi-transfer-axel-disasi/
2,Tottenham 'contact Villa about Bailey' as they battle Man Utd for shock deal,No subtitle found,https://www.thesun.co.uk/sport/33157798/man-utd-tottenham-aston-villa-leon-bailey-transfer/
3,"Former Premier League star, 41, 'sacked by Carlisle after just 25 games'",No subtitle found,https://www.thesun.co.uk/sport/33160077/premier-league-mike-williamson-sacked-carlisle/
4,"Win a Rolex plus £5k or £16,000 cash alternative from just 30p with our discount",No subtitle found,https://www.thesun.co.uk/sport/18922011/win-watch-7dp/
5,Marcus Rashford releases 78-word statement after completing Aston Villa loan,No subtitle found,https://www.thesun.co.uk/sport/33157373/marcus-rashford-villa-loan-transfer-man-utd-statement/
6,Rashford told he will never play for Man Utd again while Amorim is manager,No subtitle found,https://www.thesun.co.uk/sport/33143782/marcus-rashford-man-utd-ruben-amorim-aston-villa/
7,Three reasons Rashford chose Aston Villa after expecting Euro giants move,No subtitle found,https://www.thesun.co.uk/sport/33144400/marcus-rashford-aston-villa-man-utd-ruben-amorim/
8,Kyle Walker's wife is no-show at AC Milan debut despite reuniting hrs before,"THE former Manchester City skipper, 34, was named in the starting line-up for the fierce derby match against arch rivals Inter.",https://www.thesun.co.uk/sport/33153252/kyle-walker-wife-annie-milan-debut-no-show/
9,Nottingham Forest terminate forgotten England star's contract,No subtitle found,https://www.thesun.co.uk/sport/33157656/james-ward-prowse-nottingham-forest-west-ham/
10,Angry Henderson goes off at journalist after Ajax ace is grilled on Monaco move,No subtitle found,https://www.thesun.co.uk/sport/33155282/jordan-henderson-monaco-transfer-row-ajax-journalist/
11,'Man Utd were the problem' - Antony gets assist just 14 minutes into Betis debut,No subtitle found,https://www.thesun.co.uk/sport/33154423/antony-real-betis-man-utd-transfer-news/
12,Walker makes AC Milan debut in huge clash vs Inter but it ends in heartbreak,No subtitle found,https://www.thesun.co.uk/sport/33149636/kyle-walker-milan-inter-debut-man-city/
13,Amorim's woeful side slip to 13th as Eagles pull off smash-and-grab win,MATETA'S second-half double sent the Red Devils to a fifth defeat in six home Prem games. And once again United were made to pay for blunders.,https://www.thesun.co.uk/sport/33149831/man-utd-0-2-crystal-palace-prem-report/
14,Diallo lone bright spark as Maguire dominated by Palace attack,No subtitle found,https://www.thesun.co.uk/sport/33148762/man-utd-player-ratings-palace/
15,Amorim confirms 'serious' damage as star stretchered off with knee injury,No subtitle found,https://www.thesun.co.uk/sport/33103477/lisandro-martinez-injury-updates-man-utd-crystal-palace-live/
16,Martinez in tears as he's stretchered off with 'serious' injury for Man Utd,No subtitle found,https://www.thesun.co.uk/sport/33150219/lisandro-martinez-injury-man-utd-crystal-palace/
17,Man Utd in talks over Villa ace who's regularly on bench to plug Rashford hole,No subtitle found,https://www.thesun.co.uk/sport/33148280/man-utd-transfer-aston-villa-rashford/
18,'Head is gone' - Guardiola's bizarre reaction over Lewis-Skelly mocking Haaland,"MAN CITY boss could not have cared less as he was told about Myles Lewis-Skelly's celebration. Guardiola, 54, has won six Premier League titles.",https://www.thesun.co.uk/sport/33158277/pep-guardiola-man-city-arsenal-lewis-skelly/
19,Fans reckon Gabriel told Haaland 'fetch my boot' as heated rivalry hits new peak,No subtitle found,https://www.thesun.co.uk/sport/33152747/gabriel-haaland-boot-rivalry-arsenal-man-city/
20,How Arsenal's DJ brutally trolled Haaland seconds after Man City thrashed 5-1,No subtitle found,https://www.thesun.co.uk/sport/33153384/arsenal-dj-erling-haaland-man-city-premier-league/
21,Fans think they know what Haaland said to Gabriel in cheeky taunt,No subtitle found,https://www.thesun.co.uk/sport/33157375/erling-haaland-gabriel-man-city-arsenal-taunting/
22,Haaland's dad trolls Arsenal in seven-word post after Gunners mock hitman,No subtitle found,https://www.thesun.co.uk/sport/33151935/erling-haaland-dad-alf-inge-arsenal-trolled-man-city/
23,"'S***house' Lewis-Skelly, 18, hits Haaland cele after 1st Arsenal goal vs City",No subtitle found,https://www.thesun.co.uk/sport/33152285/myles-lewis-skelly-haaland-celebration-arsenal-city/
24,Gunners close gap to Liverpool in spiky showdown,No subtitle found,https://www.thesun.co.uk/sport/33152627/arsenal-5-man-city-1-gunners-close-gap-liverpool/
25,Gabriel celebrates in Haaland's face as fans say 'this is what Prem needs',No subtitle found,https://www.thesun.co.uk/sport/33151353/gabriel-haaland-rivalry-celebrates-face-arsenal-man-city/
26,Van Persie seething after opponents allowed to field 12 PLAYERS during match,EX-Manchester United striker Van Persie was fuming after his side played against 12 men in the Eredivisie. ,https://www.thesun.co.uk/sport/33147847/van-persie-heerenveen-12-players-fortuna-sittard/
